(442.161,663.985,511.936)
(217.126,358.348,764.26)
(276.656,365.097,607.859)
(505.042,672.901,603.459)
(67.4567,594.821,810.193)
(419.398,579.494,483.065)
(54.9654,635.134,610.185)
(241.269,834.308,672.424)
(314.066,477.19,912.322)
(348.005,371.745,781.817)
(161.191,774.355,595.498)
(366.9,737.854,885.901)
(339.648,785.317,834.904)
(376.373,621.041,929.039)
(339.229,504.869,936.099)
(216.587,553.993,932.131)
(231.636,722.621,906.021)
(457.593,399.097,725.495)
(294.321,840.24,699.934)
(40.481,619.367,731.407)
(443.904,573.365,886.12)
(122.516,448.036,819.761)
(494.843,513.824,825.216)
(340.464,795.444,542.935)
(245.226,349.315,695.894)
(345.4,725.36,903.54)
(237.83,742.367,500.022)
(441.993,785.54,700.596)
(516.766,696.64,746.711)
(320.886,356.102,656.301)
(176.238,687.74,489.651)
(489.299,587.687,846.367)
(64.136,499.644,747.004)
(376.872,741.587,516.233)
(280.288,843.724,749.711)
(236.406,803.794,794.494)
(246.741,703.679,914.986)
(95.0237,453.562,742.757)
(155.359,562.774,900.054)
(140.131,443.442,829.777)
(202.319,419.262,845.226)
(518.159,510.748,768.312)
(450.656,403.388,733.245)
(355.662,475.672,902.619)
(376.165,570.884,464.241)
(353.74,683.966,471.47)
(281.145,427.001,514.515)
(365.801,825.754,758.737)
(482.703,700.172,584.245)
(521.339,585.468,760.946)
(435.76,701.624,879.907)
(123.807,452.018,809.235)
(207.929,804.649,816.679)
(140.029,404.572,729.341)
(506.647,699.407,686.179)
(130.088,557.614,520.522)
(521.489,627.311,785.69)
(383.289,765.264,540.25)
(519.795,593.661,789.943)
(434.756,478.913,873.891)
(130.086,744.149,568.558)
(274.227,797.183,821.843)
(242.873,701.043,486.127)
(296.642,814.928,776.872)
(533.573,597.898,633.9)
(119.446,786.011,700.711)
(116.371,771.816,744.741)
(492.281,686.522,821.344)
(139.86,692.24,512.33)
(331.348,372.84,575.745)
(518.738,639.244,634.08)
(302.071,395.154,848.298)
(242.681,832.623,666.028)
(118.279,519.449,845.819)
(459.234,484.269,560.08)
(92.9451,546.135,547.131)
(369.192,747.6,870.857)
(270.233,714.849,484.988)
(196.404,491.773,490.606)
(442.145,390.838,639.072)
(470.074,688.212,838.931)
(114.919,682.461,831.893)
(135.922,415.278,799.476)
(470.408,728.439,798.132)
(441.714,780.472,752.18)
(324.403,452.018,502.205)
(444.126,570.443,881.626)
(130.48,776.051,714.211)
(169.534,689.472,508.553)
(222.785,839.305,696.279)
(169.726,401.894,618.315)
(339.786,661.885,936.924)
(313.162,756.425,501.066)
(303.818,355.867,630.254)
(184.508,806.524,637.133)
(536.067,593.747,779.194)
(357.652,418.934,527.185)
(231.79,349.597,649.66)
(460.823,444.573,813.205)
(356.592,560.734,462.56)
